ID,FILENAME,DISKID,FLAGS,SONGTYPE,STATUS,WEIGHT,BALANCE,DATE_ADDED,DATE_PLAYED,DATE_ARTIST_PLAYED,DATE_ALBUM_PLAYED,DATE_TITLE_PLAYED,DURATION,TITLE,ALBUM,LABEL,PLINE,TRACKNO,COMPOSER,ISRC,CATALOG,UPC,FEEAGENCY,ALBUMYEAR,GENRE,WEBSITE,BUYCD,INFO,LYRICS,PICTURE,COUNT_PLAYED,COUNT_REQUESTED,LAST_REQUESTED,COUNT_PERFORMANCES,XFADE,ARTIST,BPM,RATING,MOOD,OVERLAY,PLAYLIMIT_COUNT,PLAYLIMIT_ACTION,SONGRIGHTS,ADZ_LISTID
36473,Penny_Fountain_-_Euphoria\EUPHORIA MASTER - PENNY FOUNTAIN - 48K 16bit.mp3,0,NNNNNNNNNN,S,0,70,0.305714279413223,4/5/2025 4:15:30 PM,4/20/2025 1:53:54 PM,4/20/2025 1:53:54 PM,4/20/2025 1:53:54 PM,4/20/2025 1:53:54 PM,246203,Euphoria,Euphoria,,,1,PENNY FOUNTAIN,,,,,2025,Alternative,,,00000000 00000210 00000B5F 0000000000AE2111 00000000 00488460 00000000 00000000 00000000 00000000 00000000 00000000,,az_36473_Euphoria_Penny Fountain.jpg,5,0,4/5/2025 4:15:30 PM,0,,Penny Fountain,0,0,,NO,0,none,broadcast,0
36440,Unchained - Voices.wav,0,NNNNNNNNNN,S,0,70,1.5628570318222,3/18/2025 7:18:17 AM,4/20/2025 1:58:01 PM,4/20/2025 1:58:01 PM,2/14/2025 1:26:55 AM,4/20/2025 1:58:01 PM,185527,Voices,,,,0,,,,,,0,,,,,,,9,0,3/18/2025 7:18:17 AM,0,,Unchained,0,0,,no,0,none,broadcast,0
33872,Drop,0,NNNNNNNNNN,S,0,70,1.77285611629486,6/5/2023 7:04:49 AM,4/20/2025 2:01:02 PM,4/20/2025 2:01:09 PM,5/4/2023 3:46:06 PM,4/20/2025 2:01:02 PM,12069,KARS,,,,0,,,,,,0,,,,engiTunSMPB 00000000 00000210 000009C0 0000000000081330 00000000 00073D10 00000000 00000000 00000000 00000000 00000000 00000000,,,35,0,6/5/2023 7:04:49 AM,0,,Lost Hearts,0,0,,no,0,none,broadcast,0
36468,Lost Hearts - Gone Too Far WAV (Released 4-1-25).wav,0,NNNNNNNNNN,S,0,70,3.07857155799866,4/5/2025 3:41:58 PM,4/20/2025 2:01:09 PM,4/20/2025 2:01:09 PM,3/1/2025 6:07:24 PM,4/20/2025 2:01:09 PM,229828,Gone Too Far,,,,0,,,,,,0,,,,,,,8,0,4/5/2025 3:41:58 PM,0,,Lost Hearts,0,0,,no,0,none,broadcast,0
36386,Isekai - Self Revelations.mp3,0,NNNNNNNNNN,S,0,70,2.40142941474915,2/22/2025 7:02:45 PM,4/20/2025 2:04:54 PM,4/20/2025 2:04:54 PM,1/20/2025 10:34:25 AM,4/20/2025 2:04:54 PM,187533,Self Revelations,,,,0,,,,,,0,,,,,,,11,0,2/22/2025 7:02:45 PM,0,,Isekai,0,0,,NO,0,none,broadcast,0
220,DeadBlondeStars - This Tree.mp3,0,NNNNNNNNNN,S,0,70,0.741428673267364,3/3/2023 10:36:03 AM,4/20/2025 2:10:15 PM,4/20/2025 2:10:15 PM,4/20/2025 2:10:15 PM,4/20/2025 2:10:15 PM,304320,This Tree,Metamorphosis,,,2,,,,,,2023,Alternative Rock,,,,,az_220_Metamorphosis_DeadBlondeStars.jpg,4,0,3/3/2023 10:36:03 AM,0,,DeadBlondeStars,0,0,,no,0,none,broadcast,0
36457,Stateline Sinners - The Devil Don't Wanna Play.mp3,0,NNNNNNNNNN,S,0,70,3.04857206344604,3/30/2025 12:23:49 PM,4/20/2025 2:15:02 PM,4/20/2025 2:15:02 PM,2/28/2025 9:38:13 AM,4/20/2025 2:15:02 PM,302577,The Devil Don't Wanna Play,,,,0,,,,,,2000,Blues,,,,,,7,0,3/30/2025 12:23:49 PM,0,,Stateline Sinners,0,0,,no,0,none,broadcast,0
36476,Crowsilver - The Tower.mp3,0,NNNNNNNNNN,S,0,70,3.28285789489746,4/6/2025 12:41:43 PM,4/20/2025 2:19:58 PM,4/20/2025 2:19:58 PM,3/2/2025 7:46:31 PM,4/20/2025 2:19:58 PM,256679,The Tower,,,,0,,,,,,2025,Progressive Goth Roc,,,Crowsilver   crowsilveruk@hotmail.com    0044 (0)7821618152    All right owned by Crowsilver,,,7,0,4/6/2025 12:41:43 PM,0,,Crowsilver,0,0,,no,0,none,broadcast,0
36404,Faith In Failure - Lost (Down in the darkness).mp3,0,NNNNNNNNNN,S,0,70,1.48571395874023,3/2/2025 11:33:27 AM,4/20/2025 2:24:45 PM,4/20/2025 2:24:45 PM,1/28/2025 8:52:10 PM,4/20/2025 2:24:45 PM,346932,Lost (Down in the darkness),,,,0,,,,,,0,,,,,,,11,0,3/2/2025 11:33:27 AM,0,,Faith In Failure,0,0,,no,0,none,broadcast,0
36485,Snapchat Bandits - Nothing To Prove.mp3,0,NNNNNNNNNN,S,0,70,0.191428571939468,4/12/2025 7:19:12 AM,4/20/2025 2:30:30 PM,4/20/2025 2:30:30 PM,3/13/2025 3:57:36 AM,4/20/2025 2:30:30 PM,234952,Nothing To Prove Master,,,,1,,,,,,2024,,,,,,,4,0,4/12/2025 7:19:12 AM,0,,Snapchat Bandits,0,0,,no,0,none,broadcast,0
36165,C:\Users\19892\Desktop\HRR Drop #1 your sourse.wav,0,NNNNNNNNNN,J,0,70,1.32142806053162,11/24/2024 12:37:26 PM,4/20/2025 3:26:41 PM,4/20/2025 3:26:41 PM,10/22/2024 5:16:48 AM,4/20/2025 3:26:41 PM,13328,HRR Drop #1 your sourse,,,,0,,,,,,0,,,,,,,30,0,11/24/2024 12:37:26 PM,0,,,0,0,,no,0,none,broadcast,0
36495,Rich Kid Express - It's Bad To Be Good.mp3,0,NNNNNNNNNN,S,0,70,0.711428642272949,4/16/2025 6:49:23 PM,4/20/2025 2:34:35 PM,4/20/2025 2:34:35 PM,3/14/2025 11:14:21 PM,4/20/2025 2:34:35 PM,165695,It's Bad To Be Good,,,,0,Rob Richardson,,,,,2025,"Rock, Hard Rock, Gla",,,engiTunSMPB 00000000 00000210 000009F2 00000000006F737E 00000000 00650125 00000000 00000000 00000000 00000000 00000000 00000000,,,3,0,4/16/2025 6:49:23 PM,0,,Rich Kid Express,0,0,,NO,0,none,broadcast,0
36492,Ghosts of Sunset - She's Been Comin' Around.wav,0,NNNNNNNNNN,S,0,70,0.421428561210632,4/13/2025 10:20:58 AM,4/20/2025 2:37:17 PM,4/20/2025 2:37:17 PM,3/12/2025 5:45:56 AM,4/20/2025 2:37:17 PM,206287,She's Been Comin' Around,,,,0,,,,,,0,,,,,,,4,0,4/13/2025 10:20:58 AM,0,&i=0&bmp=,Ghosts of Sunset,0,0,,no,0,none,broadcast,0
36458,Three to One - Clutch.mp3,0,NNNNNNNNNN,S,0,70,1.20714271068573,4/1/2025 6:53:01 AM,4/20/2025 2:42:43 PM,4/20/2025 2:42:43 PM,4/20/2025 2:42:43 PM,4/20/2025 2:42:43 PM,230609,Clutch,Beyond The Divide,,,0,,QZK6K2406297,,,,2024,Rock,,,,,,7,0,4/1/2025 6:53:01 AM,0,,Three To One,0,0,,no,0,none,broadcast,0
36491,Woe Is Me - Here’s To Me (A Story To Tell pt.2).wav,0,NNNNNNNNNN,S,0,70,0.621428668498993,4/12/2025 7:20:13 AM,4/20/2025 2:46:25 PM,4/20/2025 2:46:25 PM,3/10/2025 5:50:56 AM,4/20/2025 2:46:25 PM,200533,Here’s To Me (A Story To Tell pt.2),,,,0,,,,,,0,,,,,,,4,0,4/12/2025 7:20:13 AM,0,&i=0&bmp=,Woe Is Me,0,0,,no,0,none,broadcast,0
36461,Worldwide Panic - Single - 00 - Below It All.mp3,0,NNNNNNNNNN,S,0,70,0.938571631908417,4/1/2025 6:59:05 AM,4/20/2025 2:50:54 PM,4/20/2025 2:50:54 PM,4/20/2025 2:50:54 PM,4/20/2025 2:50:54 PM,198864,Below It All,Single,,,0,,,,,,2025,,,,https://www.youtube.com/watch?v=qv94jeijQdQ,,,5,0,4/1/2025 6:59:05 AM,0,,Worldwide Panic,0,0,,no,0,none,broadcast,0
36210,Abaddon's End - Construct.wav,0,NNNNNNNNNN,S,0,70,1.64428520202637,12/22/2024 11:24:09 AM,4/20/2025 2:54:10 PM,4/20/2025 2:54:10 PM,11/20/2024 6:11:41 PM,4/20/2025 2:54:10 PM,238237,Construct,,,,0,,,,,,0,,,,,,,18,0,12/22/2024 11:24:09 AM,0,,Abaddon's End,0,0,,no,0,none,broadcast,0
36166,C:\Users\19892\Desktop\HRR Drop #3.wav,0,NNNNNNNNNN,J,0,70,1.36142814159393,11/24/2024 12:37:50 PM,4/20/2025 2:58:01 PM,4/20/2025 3:26:41 PM,10/24/2024 3:37:50 AM,4/20/2025 2:58:01 PM,7179,HRR Drop #3,,,,0,,,,,,0,,,,,,,16,0,11/24/2024 12:37:50 PM,0,,,0,0,,no,0,none,broadcast,0
36496,The Dover Affair - Something I Can't See.mp3,0,NNNNNNNNNN,S,0,70,0.381428569555283,4/16/2025 6:49:34 PM,4/20/2025 2:58:06 PM,4/20/2025 2:58:06 PM,3/16/2025 1:34:12 AM,4/20/2025 2:58:06 PM,222168,Something I Can't See,,,,1,,,,,,2025,,,,,,,3,0,4/16/2025 6:49:34 PM,0,,The Dover Affair,0,0,,no,0,none,broadcast,0
36514,Ryder - One Eye Open (1).mp3,0,NNNNNNNNNN,S,0,70,2.65857219696045,4/20/2025 11:41:05 AM,4/20/2025 3:01:44 PM,4/20/2025 3:01:44 PM,4/20/2025 3:01:44 PM,4/20/2025 3:01:44 PM,286944,One Eye Open,One Eye Open (Single),,,1,,,,,,2025,Hard Rock,,,,,az_36514_One Eye Open (Single)_Ryder.png,2,0,4/20/2025 11:41:05 AM,0,,Ryder,0,0,,NO,0,none,broadcast,0
36497,Woodhawk-Strangers Ever After..wav,0,NNNNNNNNNN,S,0,70,0.647142946720123,4/16/2025 6:52:33 PM,4/20/2025 3:07:57 PM,4/20/2025 3:07:57 PM,3/14/2025 7:54:28 AM,4/20/2025 3:07:57 PM,264171,Strangers Ever After.,,,,0,,,,,,0,,,,,,,2,0,4/16/2025 6:52:33 PM,0,,Woodhawk,0,0,,no,0,none,broadcast,0
36494,Phil Cook & the Fall Dogs _NEVER 51.mp3,0,NNNNNNNNNN,S,0,70,1.85428535938263,4/13/2025 2:00:05 PM,4/20/2025 3:12:11 PM,4/20/2025 3:12:11 PM,4/20/2025 3:12:11 PM,4/20/2025 3:12:11 PM,110873,NEVER 51,Ni Hao Ni Hao,,,4,Phil Cook,,,,,2025,Power Pop,,,,,az_36494_Ni Hao Ni Hao_Phil Cook & the Fall Dogs.jpg,2,0,4/13/2025 2:00:05 PM,0,,Phil Cook & the Fall Dogs,0,0,,NO,0,none,broadcast,0
36515,Awaking The Groguies - Broken-.mp3,0,NNNNNNNNNN,S,0,70,3.29428625106812,4/20/2025 11:41:39 AM,4/20/2025 3:13:51 PM,4/20/2025 3:13:51 PM,4/20/2025 3:13:51 PM,4/20/2025 3:13:51 PM,181969,BROKEN,ATG,,,0,,,,,,0,,,,online-audio-converter.com,,az_36515_ATG_AWAKING THE GROGUIES.jpg,1,0,4/20/2025 11:41:39 AM,0,,AWAKING THE GROGUIES,0,0,,NO,0,none,broadcast,0
36463,Esoterica - I Am Just One.wav,0,NNNNNNNNNN,S,0,70,1.37142860889435,4/1/2025 6:59:31 AM,4/20/2025 3:17:51 PM,4/20/2025 3:17:51 PM,2/26/2025 3:39:22 PM,4/20/2025 3:17:51 PM,281000,I Am Just One,,,,0,,,,,,0,,,,,,,1,0,4/1/2025 6:59:31 AM,0,,Esoterica,0,0,,no,0,none,broadcast,0
36469,434 - Energetic Opposition  MP3.mp3,0,NNNNNNNNNN,S,0,70,2.73285675048828,4/5/2025 3:42:40 PM,4/20/2025 3:22:19 PM,4/20/2025 3:22:19 PM,3/2/2025 6:05:14 AM,4/20/2025 3:22:19 PM,261904,Energetic Opposition  MP3,,,,0,,,,,,0,,,,,,,2,0,4/5/2025 3:42:40 PM,0,,434,0,0,,NO,0,none,broadcast,0
36165,C:\Users\19892\Desktop\HRR Drop #1 your sourse.wav,0,NNNNNNNNNN,J,0,70,1.32142806053162,11/24/2024 12:37:26 PM,4/20/2025 3:26:41 PM,4/20/2025 3:26:41 PM,10/22/2024 5:16:48 AM,4/20/2025 3:26:41 PM,13328,HRR Drop #1 your sourse,,,,0,,,,,,0,,,,,,,30,0,11/24/2024 12:37:26 PM,0,,,0,0,,no,0,none,broadcast,0
36434,Beautiful Divide - Rise.wav,0,NNNNNNNNNN,S,0,70,0.968571662902832,3/15/2025 5:41:25 PM,4/20/2025 3:26:52 PM,4/20/2025 3:26:52 PM,2/13/2025 7:52:27 AM,4/20/2025 3:26:52 PM,248444,Rise,,,,0,,,,,,0,,,,,,,8,0,3/15/2025 5:41:25 PM,0,,Beautiful Divide,0,0,,no,0,none,broadcast,0
