ID,FILENAME,DISKID,FLAGS,SONGTYPE,STATUS,WEIGHT,BALANCE,DATE_ADDED,DATE_PLAYED,DATE_ARTIST_PLAYED,DATE_ALBUM_PLAYED,DATE_TITLE_PLAYED,DURATION,TITLE,ALBUM,LABEL,PLINE,TRACKNO,COMPOSER,ISRC,CATALOG,UPC,FEEAGENCY,ALBUMYEAR,GENRE,WEBSITE,BUYCD,INFO,LYRICS,PICTURE,COUNT_PLAYED,COUNT_REQUESTED,LAST_REQUESTED,COUNT_PERFORMANCES,XFADE,ARTIST,BPM,RATING,MOOD,OVERLAY,PLAYLIMIT_COUNT,PLAYLIMIT_ACTION,SONGRIGHTS,ADZ_LISTID
36528,Kathleen Turner Overdrive - Love At The End Of The Line.mp3,0,NNNNNNNNNN,S,0,70,0.198571428656578,4/26/2025 9:09:44 PM,4/27/2025 9:57:12 AM,4/27/2025 9:57:12 AM,3/23/2025 2:51:00 AM,4/27/2025 9:57:12 AM,149688,End Of The Line,,,,1,,,,,,2024,,,,,,,1,0,4/26/2025 9:09:44 PM,0,,Kathleen Turner Overdrive,0,0,,no,0,none,broadcast,0
36529,Seems Like Tuesday - Drowning.mp3,0,NNNNNNNNNN,S,0,70,0.39857143163681,4/27/2025 8:38:04 AM,4/27/2025 9:59:40 AM,4/27/2025 9:59:40 AM,3/27/2025 5:20:47 AM,4/27/2025 9:59:40 AM,229393,Drowning,,,,1,Phil Michaels (Songboy 69 publishing ASCAP 3954293) 75% William Carl Zeoli IV (BMI  551172800) 5% St,,,,,2025,Rock/Pop,,,"engBlues Rock, Female vocal, moody, dark, sad, love song, guitar solo",,,1,0,4/27/2025 8:38:04 AM,0,,Seems Like Tuesday,0,0,,NO,0,none,broadcast,0
36518,Breakfall - Again.wav,0,NNNNNNNNNN,S,0,70,0.86857146024704,4/26/2025 6:02:04 PM,4/27/2025 10:04:01 AM,4/27/2025 10:04:01 AM,3/26/2025 12:48:09 PM,4/27/2025 10:04:01 AM,276328,Again,,,,0,,,,,,0,,,,,,,1,0,4/26/2025 6:02:04 PM,0,&i=0&bmp=,Breakfall,0,0,,no,0,none,broadcast,0
36519,Lunar Hijack - Worlds Collide.wav,0,NNNNNNNNNN,S,0,70,0.198571428656578,4/26/2025 6:02:13 PM,4/27/2025 10:08:32 AM,4/27/2025 10:08:32 AM,3/25/2025 10:57:25 AM,4/27/2025 10:08:32 AM,225600,Worlds Collide,,,,0,,,,,,0,,,,,,,1,0,4/26/2025 6:02:13 PM,0,,Lunar Hijack,0,0,,no,0,none,broadcast,0
34705,C:\Users\19892\Desktop\hypernova #2.1.wav,0,NNNNNNNNNN,S,0,70,2.39285802841187,12/4/2023 5:49:45 AM,4/27/2025 10:57:33 AM,4/27/2025 10:57:33 AM,11/1/2023 11:41:07 AM,4/27/2025 10:57:33 AM,8748,hypernova #2.1,,,,0,,,,,,0,,,,,,,122,0,12/4/2023 5:49:45 AM,0,,,0,0,,no,0,none,broadcast,0
36520,The Word66 - 37 Miracles.mp3,0,NNNNNNNNNN,S,0,70,0.39857143163681,4/26/2025 6:02:23 PM,4/27/2025 10:12:19 AM,4/27/2025 10:12:19 AM,3/25/2025 3:36:56 PM,4/27/2025 10:12:19 AM,184800,37 Miracles,,Righteous Wings,,0,,,,,,2025,Other,,,#theword66 #thewordsixtysix #christianrock #christianmetal #christianmusic #worshipmusic #indierock #indiemusic #indieartist #newmusic #rock #metal #metalmusic #hardrock,,,1,0,4/26/2025 6:02:23 PM,0,,The Word66,0,0,,NO,0,none,broadcast,0
36521,Hearts and Souls - Little While.wav,0,NNNNNNNNNN,S,0,70,0.47857141494751,4/26/2025 6:02:31 PM,4/27/2025 10:15:16 AM,4/27/2025 10:15:16 AM,3/24/2025 8:25:05 AM,4/27/2025 10:15:16 AM,238867,Little While,,,,0,,,,,,0,,,,,,,1,0,4/26/2025 6:02:31 PM,0,,Hearts and Souls,0,0,,no,0,none,broadcast,0
36522,Our North - Violent Rules.wav,0,NNNNNNNNNN,S,0,70,0.558571457862854,4/26/2025 6:02:41 PM,4/27/2025 10:20:19 AM,4/27/2025 10:20:19 AM,3/27/2025 5:42:32 PM,4/27/2025 10:20:19 AM,240744,Violent Rules,,,,0,,,,,,0,,,,,,,1,0,4/26/2025 6:02:41 PM,0,,Our North,0,0,,no,0,none,broadcast,0
36523,Small Town Politics - Waiting For The Bomb.wav,0,NNNNNNNNNN,S,0,70,0.578571438789368,4/26/2025 6:02:51 PM,4/27/2025 10:24:18 AM,4/27/2025 10:24:18 AM,3/25/2025 12:24:27 PM,4/27/2025 10:24:18 AM,209455,Waiting For The Bomb,,,,0,,,,,,0,,,,,,,1,0,4/26/2025 6:02:51 PM,0,,Small Town Politics,0,0,,no,0,none,broadcast,0
36524,Lute - Fears.wav,0,NNNNNNNNNN,S,0,70,0.278571426868439,4/26/2025 6:03:02 PM,4/27/2025 10:28:52 AM,4/27/2025 10:28:52 AM,3/25/2025 7:55:21 PM,4/27/2025 10:28:52 AM,328059,Fears,,,,0,,,,,,0,,,,,,,1,0,4/26/2025 6:03:02 PM,0,,Lute,0,0,,no,0,none,broadcast,0
