ID,FILENAME,DISKID,FLAGS,SONGTYPE,STATUS,WEIGHT,BALANCE,DATE_ADDED,DATE_PLAYED,DATE_ARTIST_PLAYED,DATE_ALBUM_PLAYED,DATE_TITLE_PLAYED,DURATION,TITLE,ALBUM,LABEL,PLINE,TRACKNO,COMPOSER,ISRC,CATALOG,UPC,FEEAGENCY,ALBUMYEAR,GENRE,WEBSITE,BUYCD,INFO,LYRICS,PICTURE,COUNT_PLAYED,COUNT_REQUESTED,LAST_REQUESTED,COUNT_PERFORMANCES,XFADE,ARTIST,BPM,RATING,MOOD,OVERLAY,PLAYLIMIT_COUNT,PLAYLIMIT_ACTION,SONGRIGHTS,ADZ_LISTID
36528,Kathleen Turner Overdrive - Love At The End Of The Line.mp3,0,NNNNNNNNNN,S,0,70,0.227142855525017,4/26/2025 9:09:44 PM,4/29/2025 7:20:26 PM,4/29/2025 7:20:26 PM,3/23/2025 2:51:00 AM,4/29/2025 7:20:26 PM,149688,End Of The Line,,,,1,,,,,,2024,,,,,,,3,0,4/26/2025 9:09:44 PM,0,,Kathleen Turner Overdrive,0,0,,no,0,none,broadcast,0
36530,Blacklist Union - Mississippi Moonhound.wav,0,NNNNNNNNNN,S,0,70,0.717142939567566,4/27/2025 9:55:29 AM,4/29/2025 7:22:54 PM,4/29/2025 7:22:54 PM,3/27/2025 10:41:34 AM,4/29/2025 7:22:54 PM,197744,Mississippi Moonhound,,,,0,,,,,,0,,,,,,,3,0,4/27/2025 9:55:29 AM,0,,Blacklist Union,0,0,,no,0,none,broadcast,0
36532,\SLT KARS Drop.mp3,0,NNNNNNNNNN,S,0,70,2.88428640365601,4/28/2025 6:42:33 PM,4/29/2025 7:26:08 PM,4/29/2025 9:18:58 PM,3/29/2025 5:06:04 AM,4/29/2025 7:26:08 PM,9552,SLT KARS Drop,,,,0,,,,,,0,,,,,,,2,0,4/28/2025 6:42:33 PM,0,,,0,0,,NO,0,none,broadcast,0
36529,Seems Like Tuesday - Drowning.mp3,0,NNNNNNNNNN,S,0,70,0.427142858505249,4/27/2025 8:38:04 AM,4/29/2025 7:26:15 PM,4/29/2025 7:26:15 PM,3/27/2025 5:20:47 AM,4/29/2025 7:26:15 PM,229393,Drowning,,,,1,Phil Michaels (Songboy 69 publishing ASCAP 3954293) 75% William Carl Zeoli IV (BMI  551172800) 5% St,,,,,2025,Rock/Pop,,,"engBlues Rock, Female vocal, moody, dark, sad, love song, guitar solo",,,3,0,4/27/2025 8:38:04 AM,0,,Seems Like Tuesday,0,0,,NO,0,none,broadcast,0
36520,The Word66 - 37 Miracles.mp3,0,NNNNNNNNNN,S,0,70,0.427142858505249,4/26/2025 6:02:23 PM,4/29/2025 7:29:19 PM,4/29/2025 7:29:19 PM,3/25/2025 3:36:56 PM,4/29/2025 7:29:19 PM,184800,37 Miracles,,Righteous Wings,,0,,,,,,2025,Other,,,#theword66 #thewordsixtysix #christianrock #christianmetal #christianmusic #worshipmusic #indierock #indiemusic #indieartist #newmusic #rock #metal #metalmusic #hardrock,,,3,0,4/26/2025 6:02:23 PM,0,,The Word66,0,0,,NO,0,none,broadcast,0
36476,Crowsilver - The Tower.mp3,0,NNNNNNNNNN,S,0,70,3.32571530342102,4/6/2025 12:41:43 PM,4/29/2025 7:33:16 PM,4/29/2025 7:33:16 PM,3/2/2025 7:46:31 PM,4/29/2025 7:33:16 PM,256679,The Tower,,,,0,,,,,,2025,Progressive Goth Roc,,,Crowsilver   crowsilveruk@hotmail.com    0044 (0)7821618152    All right owned by Crowsilver,,,10,0,4/6/2025 12:41:43 PM,0,,Crowsilver,0,0,,no,0,none,broadcast,0
36425,Tiberius_-_Juggernaut.wav,0,NNNNNNNNNN,S,0,70,0.668571650981903,3/15/2025 4:52:45 PM,4/29/2025 7:37:16 PM,4/29/2025 7:37:16 PM,2/8/2025 9:00:26 PM,4/29/2025 7:37:16 PM,206375,Juggernaut,,,,0,,,,,,0,,,,,,,8,0,3/15/2025 4:52:45 PM,0,,Tiberius,0,0,,no,0,none,broadcast,0
36419,Engineered Society Project - Envision.mp3,0,NNNNNNNNNN,S,0,70,1.94857120513916,3/10/2025 6:52:20 PM,4/29/2025 7:41:13 PM,4/29/2025 7:41:13 PM,2/7/2025 4:51:22 PM,4/29/2025 7:41:13 PM,415634,Envision,,,,0,,,,,,0,,,,,,,7,0,3/10/2025 6:52:20 PM,0,,Engineered Society Project,0,0,,no,0,none,broadcast,0
36398,FADED - Hot Mama.wav,0,NNNNNNNNNN,S,0,70,0.400000005960464,3/1/2025 10:58:00 AM,4/29/2025 7:44:35 PM,4/29/2025 7:44:35 PM,1/25/2025 2:44:05 PM,4/29/2025 7:44:35 PM,183821,Hot Mama,,,,0,,,,,,0,,,,,,,13,0,3/1/2025 10:58:00 AM,0,,FADED,0,0,,no,0,none,broadcast,0
33339,E:\Music transfer\Sound228 jingles\New Rock starts here The Sound Two Two Eight (1).mp3,0,NNNNNNNNNN,J,0,70,2.3257143497467,3/7/2023 5:46:41 AM,4/29/2025 9:04:34 PM,4/29/2025 9:18:58 PM,1/31/2023 2:26:31 PM,4/29/2025 9:04:34 PM,8307,New Rock starts here The Sound Two Two Eight (1),,,,0,,,,,,,Other,,,,,,96,0,3/7/2023 5:46:41 AM,0,,,0,0,,NO,0,none,broadcast,0
36292,True Devil - S.D.O.N.mp3,0,NNNNNNNNNN,S,0,70,1.35714256763458,1/28/2025 7:03:35 AM,4/29/2025 7:47:43 PM,4/29/2025 7:47:43 PM,12/26/2024 5:51:35 PM,4/29/2025 7:47:43 PM,241528,S.D.O.N,,,,1,,QMEU32417362,,,,,,,,,,,9,0,1/28/2025 7:03:35 AM,0,,True Devil,0,0,,NO,0,none,broadcast,0
36527,Archers - Better Off (Clean).wav,0,NNNNNNNNNN,S,0,70,0.0571428574621677,4/26/2025 6:03:31 PM,4/29/2025 7:51:40 PM,4/29/2025 7:51:40 PM,3/27/2025 7:15:31 AM,4/29/2025 7:51:40 PM,187707,Better Off (Clean),,,,0,,,,,,0,,,,,,,3,0,4/26/2025 6:03:31 PM,0,,Archers,0,0,,no,0,none,broadcast,0
36422,Grosh - Small Talk.wav,0,NNNNNNNNNN,S,0,70,1.74142837524414,3/11/2025 6:23:07 AM,4/29/2025 7:56:13 PM,4/29/2025 7:56:13 PM,2/6/2025 7:58:09 PM,4/29/2025 7:56:13 PM,259667,Small Talk,,,,0,,,,,,0,,,,,,,9,0,3/11/2025 6:23:07 AM,0,&i=0&bmp=,Grosh,0,0,,no,0,none,broadcast,0
36364,burn'd bridges - cigarettes whiskey.mp3,0,NNNNNNNNNN,S,0,1,3.27571439743042,2/15/2025 6:36:21 PM,4/29/2025 8:00:28 PM,4/29/2025 8:00:28 PM,1/13/2025 2:30:06 PM,4/29/2025 8:00:28 PM,246857,cigarettes & whiskey,,,,0,,,,,,0,,,,,,az_36364__burn'd bridges.jpg,7,0,2/15/2025 6:36:21 PM,0,,burn'd bridges,0,0,,no,0,none,broadcast,0
36113,The One Divided - No Restraints.mp3,0,NNNNNNNNNN,S,0,70,2.49000072479248,11/2/2024 9:36:27 AM,4/29/2025 8:05:20 PM,4/29/2025 8:05:20 PM,9/30/2024 4:57:05 AM,4/29/2025 8:05:20 PM,293412,No Restraints,,,,0,,,,,,0,Rock,,,,,,17,0,11/2/2024 9:36:27 AM,0,,The One Divided,0,0,,NO,0,none,broadcast,0
36064,Deep As Bones - Shout.mp3,0,NNNNNNNNNN,S,0,70,1.6085706949234,9/29/2024 7:05:26 PM,4/29/2025 8:09:38 PM,4/29/2025 8:09:38 PM,4/29/2025 8:09:38 PM,4/29/2025 8:09:38 PM,245603,Shout,Shout,Deep As Bones,,0,Deep As Bones,QZTB82401296,,,,2024,Hard Rock,,,fre:ac - free audio converter <https://www.freac.org/>,"It starts out so free and forgiving 
You’ll never forsee the end
Shaking your head with exhaustion 
How did I end up here?
I'm not your rehab and I'm not your rage
Busted and broken and trading your hate

If you don’t wanna stop there’s nothing I can do but preach a little bit of hope
I was just like you, I didn’t want to do anything but a little dope
Just lift Him up with a shout
Don’t give up any ground

I know that this place is not normal 
The world is a shady place
I chose to follow the freedom 
And the one who gave us the grace",az_36064_Shout_Deep As Bones.jpg,27,0,9/29/2024 7:05:26 PM,0,&bpm=99.00,Deep As Bones,99,0,,no,0,none,broadcast,0
33338,E:\Music transfer\Sound228 jingles\New Rock 1.mp3,0,NNNNNNNNNN,J,0,70,2.04999923706055,3/7/2023 5:46:41 AM,4/29/2025 8:13:39 PM,4/29/2025 9:18:58 PM,1/31/2023 6:01:05 AM,4/29/2025 8:13:39 PM,4296,New Rock 1,,,,0,,,,,,2020,Blues,,,,,,118,0,3/7/2023 5:46:41 AM,0,,,0,0,,NO,0,none,broadcast,0
36369,Tin Zelkova - Juliet.mp3,0,NNNNNNNNNN,S,0,70,0.865714430809021,2/15/2025 6:37:05 PM,4/29/2025 8:13:44 PM,4/29/2025 8:13:44 PM,1/15/2025 12:37:05 AM,4/29/2025 8:13:44 PM,187742,Juliet,,,,0,,,,,,0,,,,,,,5,0,2/15/2025 6:37:05 PM,0,,Tin Zelkova,0,0,,NO,0,none,broadcast,0
36368,Falling Below - Answers.wav,0,NNNNNNNNNN,S,0,70,0.381428569555283,2/15/2025 6:36:56 PM,4/29/2025 8:16:47 PM,4/29/2025 8:16:47 PM,1/15/2025 6:36:56 AM,4/29/2025 8:16:47 PM,196072,Answers,,,,0,,,,,,0,,,,,,,4,0,2/15/2025 6:36:56 PM,0,&i=0&bmp=,Falling Below,0,0,,no,0,none,broadcast,0
36349,Honeycutt Southern - Cant Stop Me.wav,0,NNNNNNNNNN,S,0,70,1.29285669326782,2/10/2025 6:27:49 AM,4/29/2025 8:21:35 PM,4/29/2025 8:21:35 PM,1/10/2025 12:19:11 AM,4/29/2025 8:21:35 PM,267540,Cant Stop Me,,,,0,,,,,,0,,,,,,,13,0,2/10/2025 6:27:49 AM,0,,Honeycutt Southern,0,0,,no,0,none,broadcast,0
36288,CyberScream - Darkstar.wav,0,NNNNNNNNNN,S,0,1,3.15571403503418,1/27/2025 5:11:33 AM,4/29/2025 8:25:57 PM,4/29/2025 8:25:57 PM,12/27/2024 12:29:18 PM,4/29/2025 8:25:57 PM,181000,Darkstar,,,,0,,,,,,0,,,,,,,10,0,1/27/2025 5:11:33 AM,0,,CyberScream,0,0,,no,0,none,broadcast,0
36145,CloZure - Criminal Mind.mp3,0,NNNNNNNNNN,S,0,70,1.46571373939514,11/18/2024 6:42:33 PM,4/29/2025 8:30:16 PM,4/29/2025 8:30:16 PM,10/15/2024 11:20:28 AM,4/29/2025 8:30:16 PM,203076,Criminal Mind,,,,0,,,,,,0,,,,,,,17,0,11/18/2024 6:42:33 PM,0,,CloZure,0,0,,no,0,none,broadcast,0
35070,Balance of Power - Never Be Here Again (radio edit).mp3,0,NNNNNNNNNN,S,0,70,1.42285680770874,3/26/2024 4:58:46 AM,4/29/2025 8:33:36 PM,4/29/2025 8:33:36 PM,2/21/2024 8:01:39 PM,4/29/2025 8:33:36 PM,266684,Never Be Here Again,,,,0,,,,,,,Blues,,,,,,12,0,3/26/2024 4:58:46 AM,0,,Balance Of Power,0,0,,no,0,none,broadcast,0
36531,University Drive - Damage.mp3,0,NNNNNNNNNN,S,0,70,2.79428648948669,4/27/2025 7:42:26 PM,4/29/2025 8:38:01 PM,4/29/2025 8:38:01 PM,4/29/2025 8:38:01 PM,4/29/2025 8:38:01 PM,257894,Damage,Unknown album (2/11/2019 9:55:14 PM),,,5,,,,,,,Unknown genre,,,,,,2,0,4/27/2025 7:42:26 PM,0,,University Drive,0,0,,no,0,none,broadcast,0
36269,LIVES LOST - NUMB THE PAIN.wav,0,NNNNNNNNNN,S,0,1,2.69142866134644,1/19/2025 10:58:04 AM,4/29/2025 8:42:59 PM,4/29/2025 8:42:59 PM,12/16/2024 11:09:35 PM,4/29/2025 8:42:59 PM,231818,NUMB THE PAIN,,,,0,,,,,,0,,,,,,,5,0,1/19/2025 10:58:04 AM,0,,LIVES LOST,0,0,,no,0,none,broadcast,0
36236,Widow7 - MISERABLE - FINAL MIX.wav,0,NNNNNNNNNN,S,0,70,0.762857377529144,1/6/2025 6:35:16 AM,4/29/2025 8:46:44 PM,4/29/2025 8:46:44 PM,12/5/2024 1:35:45 AM,4/29/2025 8:46:44 PM,195349,MISERABLE,,,,0,,,,,,0,,,,,,,6,0,1/6/2025 6:35:16 AM,0,,Widow7,0,0,,no,0,none,broadcast,0
36506,AmoV - Breaking Me.wav,0,NNNNNNNNNN,S,0,70,1.02999997138977,4/19/2025 2:42:06 PM,4/29/2025 8:49:53 PM,4/29/2025 8:49:53 PM,3/19/2025 6:33:56 PM,4/29/2025 8:49:53 PM,190105,Breaking Me,,,,0,,,,,,0,,,,,,,6,0,4/19/2025 2:42:06 PM,0,,AMoV,0,0,,no,0,none,broadcast,0
36424,New Dilemma - Ice Cold Hands.mp3,0,NNNNNNNNNN,S,0,70,3.40857148170471,3/11/2025 7:18:50 PM,4/29/2025 8:53:48 PM,4/29/2025 8:53:48 PM,2/7/2025 3:09:43 AM,4/29/2025 8:53:48 PM,436536,Ice Cold Hands,,,,0,,,,,,0,,,,,,,11,0,3/11/2025 7:18:50 PM,0,,New Dilemma,0,0,,NO,0,none,broadcast,0
