"ID","FILENAME","DISKID","FLAGS","SONGTYPE","STATUS","WEIGHT","BALANCE","DATE_ADDED","DATE_PLAYED","DATE_ARTIST_PLAYED","DATE_ALBUM_PLAYED","DATE_TITLE_PLAYED","DURATION","TITLE","ALBUM","LABEL","PLINE","TRACKNO","COMPOSER","ISRC","CATALOG","UPC","FEEAGENCY","ALBUMYEAR","GENRE","WEBSITE","BUYCD","INFO","LYRICS","PICTURE","COUNT_PLAYED","COUNT_REQUESTED","LAST_REQUESTED","COUNT_PERFORMANCES","XFADE","ARTIST","BPM","RATING","MOOD","OVERLAY","PLAYLIMIT_COUNT","PLAYLIMIT_ACTION","SONGRIGHTS","ADZ_LISTID"
"36599","E:\Music transfer\The Rising Fall - Becoming My Everything.mp3","0","NNNNNNNNNN","S","0","70","1.66714286804199","5/20/2025 7:27:35 AM","5/20/2025 7:03:56 PM","5/20/2025 7:03:56 PM","5/20/2025 7:03:56 PM","5/20/2025 7:03:56 PM","297848","Becoming My Everything","Becoming My Everything","","","5","Kimberly Ladewski  (ASCAP) 25%; Dimitri Kontos (ASCAP) 25%, Steve Rogus (BMI) 25%; Jon DeFiore (BMI)","QZMEP2511234","","","","2024","Rock","","","","","az_36599_Becoming My Everything_The Rising Fall.jpg","1","0","5/20/2025 7:27:35 AM","0","","The Rising Fall","0","0","","NO","0","none","broadcast","0"
"36480","E:\Music transfer\Awaking The Groguies - Don't Save Me Now.mp3","0","NNNNNNNNNN","S","0","70","2.02857160568237","4/8/2025 6:40:05 PM","5/20/2025 7:08:45 PM","5/20/2025 7:08:45 PM","3/6/2025 7:56:24 AM","5/20/2025 7:08:45 PM","180584","Don't Save Me Now","","","","0","","","","","","0","","","","","","","4","0","4/8/2025 6:40:05 PM","0","","Awaking The Groguies","0","0","","NO","0","none","broadcast","0"
"36563","E:\Music transfer\Autumn Lies Buried - Debt of Silence.mp3","0","NNNNNNNNNN","S","0","70","2.03571438789368","5/10/2025 6:40:40 PM","5/20/2025 7:13:06 PM","5/20/2025 7:13:06 PM","5/20/2025 7:13:06 PM","5/20/2025 7:13:06 PM","178181","Debt of Silence","Mob Mentality","","","5","Autumn Lies Buried","","","","","2025","Deathcore","","","Exitus Strategem Records","","","2","0","5/10/2025 6:40:40 PM","0","","Autumn Lies Buried","0","0","","no","0","none","broadcast","0"
"36172","E:\Music transfer\Nemesis - Governed With Fear.mp3","0","NNNNNNNNNN","S","0","70","2.5500009059906","11/30/2024 8:34:36 AM","5/20/2025 7:16:04 PM","5/20/2025 7:16:04 PM","5/20/2025 7:16:04 PM","5/20/2025 7:16:04 PM","246984","Governed With Fear","Single","","","1","","","","","","2024","","","","","","","16","0","11/30/2024 8:34:36 AM","0","","Nemesis","0","0","","no","0","none","broadcast","0"
"33336","E:\Music transfer\Sound228 jingles\Where New Rock Starts The Sound Two Two Eight (1).mp3","0","NNNNNNNNNN","J","0","70","1.23571479320526","3/7/2023 5:46:41 AM","5/20/2025 8:01:27 PM","5/20/2025 9:01:49 PM","2/1/2023 10:37:34 AM","5/20/2025 8:01:27 PM","8072","Where New Rock Starts The Sound Two Two Eight (1)","","","","0","","","","","","","Other","","","","","","82","0","3/7/2023 5:46:41 AM","0","","","0","0","","NO","0","none","broadcast","0"
"36133","E:\Music transfer\End Code - You Lie.mp3","0","NNNNNNNNNN","S","0","70","2.79428577423096","11/11/2024 1:31:07 PM","5/20/2025 7:20:15 PM","5/20/2025 7:20:15 PM","10/10/2024 12:45:02 PM","5/20/2025 7:20:15 PM","429322","You Lie","","","","0","Franklin/Gronkoski/Cooley","","","","","0","Hard Rock","","","","","az_36133__End Code.png","12","0","11/11/2024 1:31:07 PM","0","","End Code","0","0","","no","0","none","broadcast","0"
"33518","E:\Music transfer\City Of The Weak-20230401T235923Z-001\City Of The Weak\05 - City of the Weak - Censor This.wav","0","NNNNNNNNNN","S","0","70","1.17999982833862","4/1/2023 8:01:59 PM","5/20/2025 7:23:47 PM","5/20/2025 7:23:47 PM","5/20/2025 7:23:47 PM","5/20/2025 7:23:47 PM","185493","Censor This","Pulling Teeth","","","0","","","","","","0","","","","","","","5","0","4/1/2023 8:01:59 PM","0","","City of the Weak","0","0","","no","0","none","broadcast","0"
"201","E:\Music transfer\Beautiful Skeletons_ The Suffering.mp3","0","NNNNNNNNNN","S","0","65","0.270000010728836","3/3/2023 9:41:57 AM","5/20/2025 7:28:10 PM","5/20/2025 7:28:10 PM","1/29/2023 11:25:37 AM","5/20/2025 7:28:10 PM","284839","The Suffering","","","","0","","","","","","0","","","","","","","12","0","3/3/2023 9:41:57 AM","0","","Beautiful Skeletons","0","0","","no","0","none","broadcast","0"
"36434","E:\Music transfer\Beautiful Divide - Rise.wav","0","NNNNNNNNNN","S","0","70","1.02571451663971","3/15/2025 5:41:25 PM","5/20/2025 7:32:52 PM","5/20/2025 7:32:52 PM","2/13/2025 7:52:27 AM","5/20/2025 7:32:52 PM","248444","Rise","","","","0","","","","","","0","","","","","","","12","0","3/15/2025 5:41:25 PM","0","","Beautiful Divide","0","0","","no","0","none","broadcast","0"
"36567","C:\Users\19892\Downloads\Woodhawk - Relapser.wav","0","NNNNNNNNNN","S","0","70","0.465714275836945","5/11/2025 10:59:25 AM","5/20/2025 7:38:24 PM","5/20/2025 7:38:24 PM","4/10/2025 2:44:03 AM","5/20/2025 7:38:24 PM","291755","Relapser","","","","0","","","","","","0","","","","","","","5","0","5/11/2025 10:59:25 AM","0","","Woodhawk","0","0","","no","0","none","broadcast","0"
"36546","E:\Music transfer\Chasing Stars - Ghost (Master A).wav","0","NNNNNNNNNN","S","0","70","0.745714426040649","5/3/2025 10:36:01 AM","5/20/2025 7:43:09 PM","5/20/2025 7:43:09 PM","3/30/2025 2:29:18 AM","5/20/2025 7:43:09 PM","188601","Ghost","","","","0","","","","","","0","","","","","","","5","0","5/3/2025 10:36:01 AM","0","","Chasing Stars","0","0","","no","0","none","broadcast","0"
"33338","E:\Music transfer\Sound228 jingles\New Rock 1.mp3","0","NNNNNNNNNN","J","0","70","2.12142825126648","3/7/2023 5:46:41 AM","5/20/2025 8:38:19 PM","5/20/2025 9:01:49 PM","1/31/2023 6:01:05 AM","5/20/2025 8:38:19 PM","4296","New Rock 1","","","","0","","","","","","2020","Blues","","","","","","123","0","3/7/2023 5:46:41 AM","0","","","0","0","","NO","0","none","broadcast","0"
"36595","E:\Music transfer\Detroit Riot - Tightrope.wav","0","NNNNNNNNNN","S","0","70","2.64857268333435","5/18/2025 11:59:57 AM","5/20/2025 7:46:19 PM","5/20/2025 7:46:19 PM","4/17/2025 8:06:41 AM","5/20/2025 7:46:19 PM","244941","Tightrope","","","","0","","","","","","0","","","","","","","2","0","5/18/2025 11:59:57 AM","0","","Detroit Run","0","0","","no","0","none","broadcast","0"
"32932","E:\Music transfer\Cancel The Transmission - Rise Again.wav","0","NNNNNNNNNN","S","0","70","0.821428716182709","3/3/2023 10:58:37 AM","5/20/2025 7:50:16 PM","5/20/2025 7:50:16 PM","1/29/2023 8:30:18 AM","5/20/2025 7:50:16 PM","267000","Rise Again","","","","0","","","","","","0","","","","","","","4","0","3/3/2023 10:58:37 AM","0","","Cancel The Transmission","0","0","","no","0","none","broadcast","0"
"36594","E:\Music transfer\november - blood money.mp3","0","NNNNNNNNNN","S","0","70","2.51857280731201","5/18/2025 11:52:56 AM","5/20/2025 7:55:35 PM","5/20/2025 7:55:35 PM","4/14/2025 5:27:01 AM","5/20/2025 7:55:35 PM","156887","BLOOD MONEY","","","","0","","","","","","","Metal","","","","","az_36594__NOVEMBER.jpg","2","0","5/18/2025 11:52:56 AM","0","","NOVEMBER","0","0","","no","0","none","broadcast","0"
"36443","E:\Music transfer\DIRTY RIVALS - TEETH.wav","0","NNNNNNNNNN","S","0","70","2.21000075340271","3/22/2025 11:13:39 AM","5/20/2025 7:58:09 PM","5/20/2025 7:58:09 PM","2/18/2025 4:30:27 AM","5/20/2025 7:58:09 PM","201300","TEETH","","","","0","","","","","","0","","","","","","","9","0","3/22/2025 11:13:39 AM","0","","DIRTY RIVALS","0","0","","no","0","none","broadcast","0"
"33336","E:\Music transfer\Sound228 jingles\Where New Rock Starts The Sound Two Two Eight (1).mp3","0","NNNNNNNNNN","J","0","70","1.23571479320526","3/7/2023 5:46:41 AM","5/20/2025 8:01:27 PM","5/20/2025 9:01:49 PM","2/1/2023 10:37:34 AM","5/20/2025 8:01:27 PM","8072","Where New Rock Starts The Sound Two Two Eight (1)","","","","0","","","","","","","Other","","","","","","82","0","3/7/2023 5:46:41 AM","0","","","0","0","","NO","0","none","broadcast","0"
"35467","E:\Music transfer\SPOCK - Why Can't It Be (The Nothing Song).mp3","0","NNNNNNNNNN","S","0","70","1.1757138967514","5/21/2024 5:20:50 AM","5/20/2025 8:01:35 PM","5/20/2025 8:01:35 PM","4/18/2024 12:19:52 PM","5/20/2025 8:01:35 PM","259997","Why Can't It Be (The Nothing Song)","","","","0","","","","","","0","","","","","","","14","0","5/21/2024 5:20:50 AM","0","","SPOCK","0","0","","no","0","none","broadcast","0"
"35167","E:\Music transfer\Silver Bullet Smile - Dogma 090324b (MP3).mp3","0","NNNNNNNNNN","S","0","70","1.65857136249542","4/14/2024 2:49:37 PM","5/20/2025 8:07:28 PM","5/20/2025 8:07:28 PM","3/13/2024 10:52:01 AM","5/20/2025 8:07:28 PM","324580","Dogma","","","","1","","","","","","2024","","","","","","","14","0","4/14/2024 2:49:37 PM","0","","Silver Bullet Smile","0","0","","no","0","none","broadcast","0"
"932","E:\Music transfer\Magg Dylan - Pawns-mp3.mp3","0","NNNNNNNNNN","S","0","70","0.40285712480545","3/3/2023 10:36:49 AM","5/20/2025 8:03:37 PM","5/20/2025 8:03:37 PM","1/31/2023 7:41:09 PM","5/20/2025 8:03:37 PM","231672","Pawns","","","","0","","","","","","0","","","","","","","9","0","3/3/2023 10:36:49 AM","0","","Magg Dylan","0","0","","no","0","none","broadcast","0"
"34868","E:\Music transfer\LIlith's Black Lotus-I'm The Storm.wav","0","NNNNNNNNNN","S","0","70","1.36285650730133","1/16/2024 5:42:18 AM","5/20/2025 8:13:46 PM","5/20/2025 8:13:46 PM","12/16/2023 6:08:14 PM","5/20/2025 8:13:46 PM","308400","I'm The Storm","","","","0","","","","","","0","","","","","","","21","0","1/16/2024 5:42:18 AM","0","","LIlith's Black Lotus","0","0","","no","0","none","broadcast","0"
"36584","E:\Music transfer\The Devil Wears Nada - Juliet (Single - WAV).wav","0","NNNNNNNNNN","S","0","70","0.642857193946838","5/17/2025 2:24:52 PM","5/20/2025 8:18:38 PM","5/20/2025 8:18:38 PM","4/17/2025 10:05:40 AM","5/20/2025 8:18:38 PM","266880","Juliet (Single - WAV)","","","","0","","","","","","0","","","","","","","2","0","5/17/2025 2:24:53 PM","0","","The Devil Wears Nada","0","0","","no","0","none","broadcast","0"
"36587","E:\Music transfer\XDB - When The Love Is Gone.mp3","0","NNNNNNNNNN","S","0","70","0.492857128381729","5/17/2025 2:44:54 PM","5/20/2025 8:22:44 PM","5/20/2025 8:22:44 PM","4/13/2025 8:07:27 PM","5/20/2025 8:22:44 PM","278232","When The Love Is Gone","","","","0","Rob Kane","","","","","2020","Rock","","","","","az_36587__XDB.jpg","2","0","5/17/2025 2:44:54 PM","0","","XDB","0","0","","NO","0","none","broadcast","0"
"34424","E:\Music transfer\Take The Name - LOVE LETTERS.mp3","0","NNNNNNNNNN","S","0","70","0.942858040332794","9/14/2023 7:54:59 PM","5/20/2025 8:28:37 PM","5/20/2025 8:28:37 PM","8/14/2023 5:12:16 PM","5/20/2025 8:28:37 PM","197538","LOVE LETTERS","","","","0","","","","","","0","","","","","","","51","0","9/14/2023 7:54:59 PM","0","","Take The Name","0","0","","NO","0","none","broadcast","0"
"36586","E:\Music transfer\torm Kingdom and Joe Booe - Under a Crooked Tree.mp3","0","NNNNNNNNNN","S","0","70","0.992857217788696","5/17/2025 2:26:52 PM","5/20/2025 8:31:43 PM","5/20/2025 8:31:43 PM","4/15/2025 8:32:37 PM","5/20/2025 8:31:43 PM","400144","Under a Crooked Tree","","","","0","","","","","","0","","","","","","","2","0","5/17/2025 2:26:52 PM","0","","Storm Kingdom and Joe Booe","0","0","","no","0","none","broadcast","0"
"33338","E:\Music transfer\Sound228 jingles\New Rock 1.mp3","0","NNNNNNNNNN","J","0","70","2.12142825126648","3/7/2023 5:46:41 AM","5/20/2025 8:38:19 PM","5/20/2025 9:01:49 PM","1/31/2023 6:01:05 AM","5/20/2025 8:38:19 PM","4296","New Rock 1","","","","0","","","","","","2020","Blues","","","","","","123","0","3/7/2023 5:46:41 AM","0","","","0","0","","NO","0","none","broadcast","0"
"36466","E:\Music transfer\H&HG Blame it on the Rain MP3.mp3","0","NNNNNNNNNN","S","0","70","2.54285740852356","4/5/2025 3:40:20 PM","5/20/2025 8:38:23 PM","5/20/2025 8:38:23 PM","3/6/2025 1:55:13 PM","5/20/2025 8:38:23 PM","233012","Blame it on the Rain","","","","0","","","","","","0","","","","","","","9","0","4/5/2025 3:40:20 PM","0","","Hearts & Handgrenades","0","0","","no","0","none","broadcast","0"
"34946","C:\Users\19892\Downloads\Awaken the Giant - DONE WITH YOU (Master).wav","0","NNNNNNNNNN","S","0","70","1.78285729885101","2/12/2024 5:32:01 AM","5/20/2025 8:43:07 PM","5/20/2025 8:43:07 PM","1/9/2024 4:44:30 AM","5/20/2025 8:43:07 PM","179449","DONE WITH YOU","","","","0","","","","","","0","","","","","","","5","0","2/12/2024 5:32:01 AM","0","","Awaken the Giant","0","0","","no","0","none","broadcast","0"
"36592","E:\Music transfer\Three To One - EdgEnd.mp3","0","NNNNNNNNNN","S","0","70","0.592857182025909","5/17/2025 4:29:06 PM","5/20/2025 8:46:04 PM","5/20/2025 8:46:04 PM","5/20/2025 8:46:04 PM","5/20/2025 8:46:04 PM","233900","EdgEnd","Beyond The Divide","","","0","Three To One","","","","","2025","Rock","","","","","","2","0","5/17/2025 4:29:06 PM","0","","Three To One","0","0","","no","0","none","broadcast","0"
