Artist,Song,Spins
10 Years,The Optimist,33
The Funeral Portrait,Holy Water,31
Spiritbox,Perfect Soul,30
Wage War,BLUR,30
Killswitch Engage,I Believe,29
Seether,Walls Come Down,25
Ghost,Satanized,24
NOTHING MORE,House On Sand,24
Three Days Grace,Mayday,24
Papa Roach,Even If It Kills Me,22
Shinedown,"Dance, Kid, Dance",22
Autumn Kings,SLEEP WHEN I'M DEAD,21
Disturbed,I Will Not Break,21
Volbeat,By a Monster's Hand,21
Hinder,Live Without It,20
Return to Dust,Belly Up,19
Sleep Token,Emergence,18
Velvet Chains,Dead Inside,18
Pop Evil,Wishful Thinking,17
Set It Off,Wolf In Sheep's Clothing [REBORN],17
Architects,Everything Ends,16
Gemini Syndrome,Suffer in Silence,16
P.O.D.,I WON'T BOW DOWN,16
Palaye Royale,Addicted to the Wicked & Twisted,16
Underoath,All The Love Is Gone,16
Poppy,the cost of giving up,15
The Haunt,Masochistic Lovers,14
The Noctournal Affair,Cross Me Out,14
Pistols At Dawn,BONES,13
Kalamity Kills,Starry Skies (988),12
Rain City Drive,Wish You The Best,12
Shinedown,Three Six Five,11
Memphis May Fire,Hell Is Empty,9
Rise Against,Nod,9
Blacklite District,Cold As Ice,8
Holding Absence,Gravity,8
Saliva,Some Shit About Love,8
Avenged Sevenfold,Mad Hatter,7
Bad Wolves,Zombie,7
Breaking Benjamin,Red Cold River,7
Escape The Fate,Broken Heart,7
Fit For A King,When Everything Means Nothing,7
Highly Suspect,16,7
Mushroomhead,Seen It All,7
Of Mice & Men,Money,7
Otherwise,Crossfire,7
Saul,Trial By Fire,7
The HU,Wolf Totem,7
The Veer Union,Living Not Alive,7
All That Remains,Everything's Wrong,6
Atreyu,The Time Is Now,6
Bad Wolves,Sober,6
Badflower,The Jester,6
Beartooth,You Never Know,6
Bring Me The Horizon,sugar honey ice & tea,6
Bring Me The Horizon,Teardrops,6
Bring Me The Horizon,Wonderful Life,6
Dayseeker,Sleeptalk,6
Deftones,Ceremony,6
Disturbed,A Reason To Fight,6
Disturbed,Hold On To Memories,6
Falling In Reverse,Voices In My Head,6
Fit For A King,Locked (In My Head),6
Fit For A King,The Price of Agony,6
Ghost,Rats,6
Highly Suspect,Natural Born Killer,6
I Prevail,Breaking Down,6
Ice Nine Kills,A Grave Mistake,6
Ice Nine Kills,SAVAGES,6
Korn,Can You Hear Me,6
Midnight Fracture,Break Me,6
Mushroomhead,Carry On,6
Nonpoint,Chaos And Earthquakes,6
Nonpoint,Remember Me (A Frontlines Tribute),6
OVTLIER,Living Dead,6
Parkway Drive,Glitch,6
Saint Asonia,Blind,6
Seether,Bruised And Bloodied,6
Shallow Side,My Addiction,6
Shallow Side,Sound The Alarm,6
Shinedown,ATTENTION ATTENTION,6
Shinedown,Devil,6
The HU,Yuve Yuve Yu feat. From Ashes to New,6
Volbeat,Last Day Under The Sun,6
Atreyu,House Of Gold,5
August Burns Red,Ancestry,5
Ayron Jones,Take Me Away,5
Bad Wolves,Killing Me Slowly,5
Bad Wolves,Remember When,5
Badflower,30,5
Badflower,Animal,5
Badflower,Heroin,5
Black Veil Brides,Saviour II,5
Blacklite District,With Me Now,5
Branded For Exile,Numbered Days,5
Brenden Starr,Get Out,5
Bring Me The Horizon,Ludens,5
Bullet For My Valentine,Knives,5
Chevelle,Self Destructor,5
Chevelle,Sleep Walking Elite,5
CloZure,Nevermore,5
Deftones,Ohms,5
Falling In Reverse,Zombified,5
Fame On Fire,HEADSPACE FT. POORSTACY,5
Fit For A King,Breaking The Mirror,5
Five Finger Death Punch,Gone Away,5
Five Finger Death Punch,Inside Out,5
Five Finger Death Punch,When The Seasons Change,5
Framing Hanley,Puzzle Pieces,5
From Ashes To New,Crazy,5
From Ashes To New,Panic,5
From Ashes To New,Scars That I'm Hiding,5
Godsmack,Surrender,5
Holding Absence,Aching Longing,5
Kingdom Collapse,Unbreakable,5
Life Øn Mars,WHITEWALL,5
Love the Hate,Solid Ground,5
Mammoth WVH,Epiphany,5
Messer,Cuts Like a Knife,5
Motionless In White,Another Life,5
Motionless In White,Brand New Numb,5
Nonpoint,Fix This,5
Of Virtue,Sinner,5
Otherwise,Lifted,5
Papa Roach,Come Around,5
Papa Roach,Elevate,5
Plush,Better Off Alone,5
Point North,Recover,5
Saint Asonia,The Hunted,5
Saul,Brother,5
Saul,King Of Misery,5
SevVven,Mother,5
Shallow Side,Can You Hear Me,5
She Might Be A Beast,Walk With Me,5
Silent Theory,Flicker,5
Silent Theory,"So Far, So Good",5
Storage 24,Addiction,5
Straight Shot Home,Developer,5
Swamp Stank,Black Eyes,5
Take The Name,Parallel,5
Taproot,No Surrender,5
Thousand Years Wide,Medicine,5
Three Days Grace,The Mountain,5
Tidus,Do a Kickflip,5
Vermilion Whiskey,Confidence,5
Volbeat,Die To Live,5
We All Perish,Dead & Gone,5
Above Snakes,Down,4
All That Remains,Forever In Your Hands,4
All That Remains,This Probably Won't End Well,4
Asking Alexandria,Faded Out,4
Atreyu,Untouchable,4
Atreyu,Warrior,4
Avatar,New Land,4
Bad Omens,Like A Villain,4
Bad Wolves,If Tomorrow Never Comes,4
Badflower,Don't Hate Me,4
Badflower,F*ck The World,4
Badflower,Family,4
Beartooth,Riptide,4
Beartooth,Skin,4
Beartooth,The Past Is Dead,4
Black Veil Brides,Crimson Skies,4
Black Veil Brides,Scarlet Cross,4
Bring Me The Horizon,MANTRA,4
Bring Me The Horizon,Parasite Eve,4
Carbonstone,White Noise,4
Chevelle,Hats Off to the Bull,4
Chevelle,"Rabbit Hole (Cowards, Pt. 1)",4
Conquer Divide,Bad Dreams,4
Daughtry,Changes are Coming,4
Dayseeker,Without Me,4
Deadsled Funeral Company,Boy Dahlia,4
DED,Kill Beautiful Things,4
Deftones,Tempest,4
Disturbed,Are You Ready,4
Dorothy,Black Sheep,4
Dropout Kings & (hed) p.e. w/ DJ LETHAL from Limp Bizkit,Bartenders,4
Electric Callboy,Elevator Operator,4
Fame On Fire,Plastic Heart,4
Fame On Fire,Welcome To The Chaos,4
Filter,Take Me To Heaven,4
Five Finger Death Punch,AfterLife,4
Five Finger Death Punch,Darkness Settles In,4
Five Finger Death Punch,Living The Dream,4
Foo Fighters,Waiting On A War,4
Fozzy,Judas,4
Fozzy,Sane,4
FXRLY,Revolution,4
Ghost,Spillways,4
Highly Suspect,My Name Is Human,4
Holleestar,Done for You,4
Ice Nine Kills,Rainy Day,4
Ice Nine Kills,The Shower Scene,4
Jinjer,Duél,4
Kingdom Collapse,Break Free,4
Kingdom Collapse,Save Me From Myself,4
Korn,Never Never,4
Korn,Worst Is On Its Way,4
Limp Bizkit,Dad Vibes,4
Memphis May Fire,Make Believe,4
Memphis May Fire,Misery,4
Metallica,Now That We're Dead,4
Motionless In White,Masterpiece,4
Muse,Kill Or Be Killed,4
Mushroomhead,Crazy,4
Nesdam,The Hill,4
Nickelback,San Quentin,4
Nonpoint,Alive and Kicking,4
NOTHING MORE,Let 'em Burn,4
NOTHING MORE,Tired of Winning,4
NVSN,Distress,4
Otherwise,Darker Side Of The Moon,4
OVTLIER,Buried Me Alive,4
Ozzy Osbourne,Patient Number 9,4
Papa Roach,Who Do You Trust?,4
Parkway Drive,Imperial Heretic,4
Plush,Athena,4
Pop Evil,Eye Of The Storm,4
Pop Evil,Survivor,4
Pop Evil,Work,4
Post Profit,Two Toxic,4
Rise Against,Prayer of the Refugee,4
Rise Against,Talking To Ourselves,4
Saint Asonia,Above It All,4
Seether,Dangerous,4
Seether,Wasteland,4
Shinedown,Daylight,4
Sick Puppies,Die To Save You,4
Sleep Theory,Static,4
Spiritbox,Secret Garden,4
Storage 24,Sheltered,4
The Other LA,Freakshow,4
The Other LA,I'm Not Broken,4
The Pretty Recckless,And So It Went,4
The Pretty Reckless,Death By Rock And Roll,4
The Pretty Reckless,Only Love Can Save Me Now,4
The Virulent,Through the Vastness,4
THEM GUYS,Push Away,4
Three Days Grace,Infra-Red,4
Three Days Grace,Right Left Wrong,4
Transient,Narcissist,4
Transient,Worlds Apart,4
Tremonti,Just Too Much,4
Turnstile,Mystery,4
Twinspan,Beaten and Hit,4
Volbeat,Still Counting,4
We All Perish,The Liar,4
Above Snakes,Nothing To Lose,3
All That Remains,Hold On,3
All That Remains,Madness,3
All That Remains,What If I Was Nothing,3
Any Given Sin,Insidious,3
Any Given Sin,Rest For The Wicked,3
Any Given Sin,The Way I Say Goodbye,3
Arch Enemy,Blood Dynasty,3
Archers,Never Enough,3
Architects,Animals,3
Architects,Blackhole,3
Architects,tear gas,3
Architects,when we were young,3
Asking Alexandria,Alone Again,3
Asking Alexandria,Alone In A Room,3
Asking Alexandria,Into The Fire,3
Asking Alexandria,Moving On,3
Asking Alexandria,Never Gonna Learn,3
Asking Alexandria,Vultures,3
Avatar,Night Never Ending,3
Avatar,The Eagle Has Landed,3
Avenged Sevenfold,Welcome to the Family,3
Bad Omens,Just Pretend,3
Bad Wolves,Lifeline,3
Beartooth,ATTN.,3
Black Stone Cherry,Out of Pocket,3
Black Veil Brides,Heart Of Fire,3
Bloodywood,Nu Delhi,3
Bloodywood,Tadka,3
Breaking Benjamin,Never Again,3
Bring Me The Horizon,Avalanche,3
Bring Me The Horizon,Drown,3
Bring Me The Horizon,Happy Song,3
Bullet For My Valentine,Hearts Burst into Fire,3
Bullet For My Valentine,No More Tears To Cry,3
Bullet For My Valentine,Scream Aim Fire,3
Bullet For My Valentine,Tears Don't Fall,3
Bullet for my Valentine,Your Betrayal,3
Bush,This Is War,3
Chevelle,Door To Door Cannibals,3
Chevelle,Mars Simula,3
Chevelle,Rivers,3
Chevelle,Take Out The Gunman,3
Clearfall,Over,3
Dark Remedy,Right Back To You,3
Daughtry,Heavy is the Crown,3
Dayseeker,Neon Grave,3
Dead Sara,Heroes,3
Deadlands and The Pretty Wild,Kundalini,3
DED,Remember The Enemy,3
Deftones,Diamond Eyes,3
Deftones,Hexagram,3
Deftones,Mein,3
Deftones,Prayers/Triangles,3
Deftones,Swerve City,3
Devour the Day,Move On,3
Disturbed,A Reason To Fight,3
Disturbed,Are You Ready,3
Disturbed,Hey You,3
Disturbed,Unstoppable,3
Dorothy,Down To The Bottom,3
Dorothy,Rest In Peace,3
Dorothy,What's Coming to Me,3
Dropout Kings,Virus,3
Drowning Pool,REVOLUTION (The Final Amen),3
Endure The Affliction,Paradigm Shift,3
Enox,Trauma Room,3
Escape The Fate,Invincible f/Lindsey Stirling,3
Escape The Fate,Remember Every Scar,3
Etched in Embers,good friends,3
Eyes Like Midnight,Coffin Song,3
Fit For A King,Falling Through The Sky,3
Five Finger Death Punch,A Little Bit Off,3
Five Finger Death Punch,Battle Born,3
Five Finger Death Punch,Blue On Black,3
Five Finger Death Punch,Sham Pain,3
Five Finger Death Punch,Times Like These,3
Five Finger Death Punch,Wrong Side Of Heaven,3
Foo Fighters,Love Dies Young,3
Foo Fighters,Making A Fire,3
Fozzy,Painless,3
Framing Hanley,Criminal,3
From Ashes To New,Breaking Now,3
From Ashes To New,Through It All,3
Ghost,Hunter's Moon,3
Godsmack,Something Different,3
Halestorm,Amen,3
Halestorm,Apocalyptic,3
