WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
4,2,1,LINKIN PARK,THE EMPTINESS MACHINE,Warner,833,731,102,0,31 of 35
8,1,2,POP EVIL,WHAT REMAINS,MNRK Heavy/G&G,771,746,25,0,32 of 35
10,6,3,DOROTHY,MUD,Roc Nation,624,633,-9,0,24 of 35
17,4,4,BRING ME THE HORIZON,TOP 10 STATUES THAT CRIED BLOOD,Columbia,601,655,-54,0,24 of 35
13,9,5,THE FUNERAL PORTRAIT,SUFFOCATE CITY,Better Noise,593,577,16,0,22 of 35
13,3,6,SEETHER,JUDAS MIND,Concord,568,660,-92,0,24 of 35
10,12,7,AMERICAN PROGRESS,OUTLAW,Independent,540,506,34,0,16 of 35
6,14,8,NOTHING MORE,ANGEL SONG (FT. DAVID DRAIMAN),Better Noise,523,494,29,0,24 of 35
6,16,9,HEARTS & HAND GRENADES,BREATHE INTO ME,Independent,518,446,72,0,17 of 35
5,17,10,SLEEP THEORY,STUCK IN MY HEAD,Epitaph,493,420,73,1,27 of 35
16,8,11,HALESTORM & I PREVAIL,CAN YOU SEE ME IN THE DARK?,Atlantic,492,591,-99,0,21 of 35
9,15,12,FINGER ELEVEN,ADRENALINE,Better Noise,480,454,26,1,24 of 35
15,13,13,BLACKLIST UNION,HORNS AND HALOS,BLU,467,497,-30,0,21 of 35
16,7,14,A DAY TO REMEMBER,FEEDBACK,Fueled By Ramen/3eE,467,631,-164,0,23 of 35
22,11,15,BLACK VEIL BRIDES,BLEEDERS,Spinefarm/Land Shark,458,507,-49,0,23 of 35
14,10,16,MESSER,FIND OUT,Maddpants/ONErpm/FM,457,520,-63,0,22 of 35
6,20,17,JELLY ROLL,LIAR,BMG,430,386,44,1,20 of 35
9,28,18,BADFLOWER,DETROIT,Big Machine,429,354,75,1,20 of 35
7,24,19,WOLVES OF TOMORROW,RAVENS TEARS,Independent,426,366,60,0,17 of 35
5,22,20,SHIM,STING LIKE A BITCH,Curtain Call,426,379,47,2,21 of 35
8,18,21,SMASHING PUMPKINS,SIGHOMMI,Thirty Tigers,424,413,11,0,23 of 35
5,29,22,SALEM'S CHILDE,THROUGH FIRE,Pavement,376,318,58,0,18 of 35
4,32,23,FAME ON FIRE,CHAINS (THE TOWER),Hopeless,363,308,55,2,24 of 35
9,27,24,FLAT BLACK,A BIT OF LIGHTNING,Concord,353,354,-1,0,21 of 35
21,21,25,TIM MONTANA,SAVAGE,Music Knox/BBR/BMG,348,380,-32,0,16 of 35
17,19,26,THE OFFSPRING,MAKE IT ALL RIGHT,Concord,334,400,-66,0,17 of 35
12,23,27,HARDY,PSYCHO,Big Loud Rock/Big Loud,328,367,-39,0,19 of 35
10,26,28,JERRY CANTRELL,VILIFIED,Double J,320,355,-35,0,19 of 35
