,Artist / Song Info,Label,Plays,WOC,LW,TW,Change,WEEK
,"BILLY MORRISON, OZZY OSBOURNE & STEVE STEVENS / CRACK COCAINE",TLG/ZOID/Virgin,1062,1,1,1,-27,07/02/2024
,SLEEP THEORY / FALLOUT,Epitaph,940,2,2,2,+13,07/02/2024
,FROM ASHES TO NEW / BARELY BREATHING,Better Noise,796,4,3,3,+17,07/02/2024
,FAME ON FIRE / NIGHTMARE (THE DEVIL),Hopeless,778,5,4,4,+36,07/02/2024
,NOTHING MORE / IF IT DOESN'T HURT,Better Noise,778,3,5,5,-68,07/02/2024
,FALLING IN REVERSE & JELLY ROLL / ALL MY LIFE,Epitaph,718,10,6,6,+150,07/02/2024
,FIVE FINGER DEATH PUNCH / THIS IS THE WAY (FT. DMX),Better Noise,691,6,7,7,-28,07/02/2024
,DAUGHTRY / PIECES,Big Machine,632,7,8,8,-18,07/02/2024
,PEARL JAM / WRECKAGE,Republic,625,8,9,9,+28,07/02/2024
,MOTLEY CRUE / DOGS OF WAR,Big Machine,556,9,10,10,-28,07/02/2024
,SHALLOW SIDE / FILTERS,Thermal,544,14,11,11,+58,07/02/2024
,WAGE WAR / MAGNETIC,Fearless/Concord,542,13,12,12,+29,07/02/2024
,STAIND / BETTER DAYS,Alchemy/CO5,526,12,13,13,+13,07/02/2024
,THE OFFSPRING / MAKE IT ALL RIGHT,Concord,503,20,14,14,+97,07/02/2024
,BAD OMENS / V.A.N (FT. POPPY),Sumerian,485,19,15,15,+67,07/02/2024
,IMAGES OF EDEN / HERE COMES THE SUN,Pavement,478,16,16,16,+39,07/02/2024
,ROYALE LYNN / DEATH WISH (FT. DANNY WORSNOP),Epitaph,475,21,17,17,+89,07/02/2024
,BLACK VEIL BRIDES / BLEEDERS,Spinefarm/Land Shark,437,17,18,18,+3,07/02/2024
,DOOR 13 / NOW,Curtain Call,422,24,19,19,+42,07/02/2024
,SET IT OFF / FAKE ASS FRIENDS,Why Worry/Stem,387,22,20,20,+1,07/02/2024
,TIM MONTANA / SAVAGE,Music Knox/BBR/BMG,384,26,21,21,+13,07/02/2024
,ATRIUM / SILENT LUCIDITY,Independent,361,30,22,22,+33,07/02/2024
,FOZZY / ARMY OF ONE,Madison/The Orchard,358,32,23,23,+59,07/02/2024
,BLACKLITE DISTRICT / YOU CAN DO BETTER,AK19,354,35,24,24,+72,07/02/2024
,GRIN CYNIC / LET ME GO,Pavement,353,34,25,25,+61,07/02/2024
