WKS ON,LW POS,TW POS,ARTIST,TITLE,LABEL,TW SPIN,LW SPIN,(+/-),ADDS,STATIONS ON
7,4,1,POP EVIL,WHAT REMAINS,MNRK Heavy/G&G,746,671,75,0,32 of 36
3,7,2,LINKIN PARK,THE EMPTINESS MACHINE,Warner,731,628,103,1,31 of 36
12,1,3,SEETHER,JUDAS MIND,Concord,660,806,-146,0,28 of 36
16,5,4,BRING ME THE HORIZON,TOP 10 STATUES THAT CRIED BLOOD,Columbia,655,645,10,0,25 of 36
20,3,5,SHALLOW SIDE,FILTERS,Thermal,635,700,-65,0,26 of 36
9,8,6,DOROTHY,MUD,Roc Nation,633,619,14,0,24 of 36
15,6,7,A DAY TO REMEMBER,FEEDBACK,Fueled By Ramen/3eE,631,635,-4,0,25 of 36
15,2,8,HALESTORM & I PREVAIL,CAN YOU SEE ME IN THE DARK?,Atlantic,591,713,-122,0,26 of 36
12,9,9,THE FUNERAL PORTRAIT,SUFFOCATE CITY,Better Noise,577,564,13,1,22 of 36
13,10,10,MESSER,FIND OUT,Maddpants/ONErpm/FM,520,545,-25,0,22 of 36
21,11,11,BLACK VEIL BRIDES,BLEEDERS,Spinefarm/Land Shark,507,530,-23,0,23 of 36
9,14,12,AMERICAN PROGRESS,OUTLAW,Independent,506,473,33,1,16 of 36
14,12,13,BLACKLIST UNION,HORNS AND HALOS,BLU,497,493,4,0,22 of 36
5,16,14,NOTHING MORE,ANGEL SONG (FT. DAVID DRAIMAN),Better Noise,494,443,51,2,24 of 36
8,15,15,FINGER ELEVEN,ADRENALINE,Better Noise,454,448,6,0,23 of 36
5,20,16,HEARTS & HAND GRENADES,BREATHE INTO ME,Independent,446,374,72,1,17 of 36
4,21,17,SLEEP THEORY,STUCK IN MY HEAD,Epitaph,420,368,52,2,26 of 36
7,17,18,SMASHING PUMPKINS,SIGHOMMI,Thirty Tigers,413,426,-13,1,23 of 36
16,13,19,THE OFFSPRING,MAKE IT ALL RIGHT,Concord,400,482,-82,0,21 of 36
5,27,20,JELLY ROLL,LIAR,BMG,386,330,56,1,19 of 36
20,22,21,TIM MONTANA,SAVAGE,Music Knox/BBR/BMG,380,361,19,0,16 of 36
4,25,22,SHIM,STING LIKE A BITCH,Curtain Call,379,345,34,2,19 of 36
11,24,23,HARDY,PSYCHO,Big Loud Rock/Big Loud,367,348,19,0,20 of 36
6,29,24,WOLVES OF TOMORROW,RAVENS TEARS,Independent,366,324,42,1,17 of 36
13,18,25,MYLES KENNEDY,SAY WHAT YOU WILL,Napalm,363,421,-58,0,21 of 36
9,23,26,JERRY CANTRELL,VILIFIED,Double J,355,354,1,0,20 of 36
8,28,27,FLAT BLACK,A BIT OF LIGHTNING,Concord,354,326,28,1,21 of 36
8,26,28,BADFLOWER,DETROIT,Big Machine,354,345,9,0,19 of 36
4,32,29,SALEM'S CHILDE,THROUGH FIRE,Pavement,318,283,35,0,18 of 36
27,19,30,DAUGHTRY,PIECES,Big Machine,315,400,-85,0,15 of 36
4,31,31,CALL ME KARIZMA,MADHOUSE,Gloomy Culture/BHMM,311,286,25,0,18 of 36
3,37,32,FAME ON FIRE,CHAINS (THE TOWER),Hopeless,308,253,55,3,22 of 36
3,44,33,ENEMY REMAINS,WILL I WAKE,Independent,292,210,82,0,14 of 36
4,33,34,STARSET,TOKSIK,Concord,285,282,3,2,19 of 36
